Party Name,Logo URL
गान्धीवादी पार्टी नेपाल,https://election.onlinekhabar.com/wp-content/uploads/2026/02/All-chunab-chinha_new-2082-18.jpg
"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",https://election.onlinekhabar.com/wp-content/uploads/2026/02/All-chunab-chinha_new-2082-21.jpg
नेपाल जनता पार्टी,https://election.onlinekhabar.com/wp-content/uploads/2026/02/nepal-janata-party.jpg
संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,https://election.onlinekhabar.com/wp-content/uploads/2026/02/All-chunab-chinha_new-2082-34.jpg
बहुजन शक्ति पार्टी,https://election.onlinekhabar.com/wp-content/uploads/2026/02/bahujan-shakti-party.jpg
"प्रजातान्त्रिक पार्टी, नेपाल",https://election.onlinekhabar.com/wp-content/uploads/2026/02/prajatantrik-party-nepal.jpg
नेपाल लोकतान्त्रिक पार्टी,https://election.onlinekhabar.com/wp-content/uploads/2026/02/nepal-loktantrik-party.jpg
राष्ट्रिय नागरिक पार्टी,https://election.onlinekhabar.com/wp-content/uploads/2026/02/rastriya-nagarik-party.jpg
नेपाली जनता दल,https://election.onlinekhabar.com/wp-content/uploads/2026/02/nepali-janata-dal.jpg
"मधेशी जनअधिकार फोरम, मधेश",https://election.onlinekhabar.com/wp-content/uploads/2026/02/madhesi-janaadhikar-forum-madhesh.jpg
नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),https://election.onlinekhabar.com/wp-content/uploads/2026/02/nepal-communinst-party-maxist-pushpalal.jpg
नेपाल सद्भावना पार्टी,https://election.onlinekhabar.com/wp-content/uploads/2026/02/nepal-sadbhawana-party.jpg
"बहुजन एकता पार्टी, नेपाल",https://election.onlinekhabar.com/wp-content/uploads/2026/02/bahujan-ekata-party-nepal.jpg
नेपाल कम्युनिष्ट पार्टी (संयुक्त),https://election.onlinekhabar.com/wp-content/uploads/2026/02/All-chunab-chinha_new-2082-27.jpg
मंगोल नेशनल अर्गनाइजेसन,https://election.onlinekhabar.com/wp-content/uploads/2026/02/All-chunab-chinha_new-2082-42.jpg
राष्ट्रिय जनमुक्ति पार्टी,https://election.onlinekhabar.com/wp-content/uploads/2026/02/All-chunab-chinha_new-2082-43.jpg
राष्ट्रिय जनमत पार्टी,https://election.onlinekhabar.com/wp-content/uploads/2026/02/All-chunab-chinha_new-2082-44.jpg
राष्ट्रिय जनता पार्टी नेपाल,https://election.onlinekhabar.com/wp-content/uploads/2026/02/rastriya-janata-party.jpg
नेपालका लागि नेपाली पार्टी,https://election.onlinekhabar.com/wp-content/uploads/2022/11/Shankha.jpg
